Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Type of Issuer,Use of Proceed,Principal Currency,1985,1986,1987,1990,1991,1992,1993,1994,1999,2000,2002,2003,2004,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Liechtenstein,LI,LIE,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,0.1062925,0.1062925,0.6364225,
Lithuania,LT,LTU,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,0.3182112,0.3903391,0.0212141,,0.037261,
Lithuania,LT,LTU,Sovereign Green Bond Issuances,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,0.0721279,,,,
Luxembourg,LU,LUX,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,0.011359,,,,,,,,,,,2.789648,3.037225,1.17607,1.999048,4.504428,10.17977,6.620316
Malaysia,MY,MYS,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,0.4436854,0.1982857,0.4660403,0.1162894,0.286007,0.2010724
"Marshall Islands, Rep. of the",MH,MHL,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,1.5,
Mauritius,MU,MUS,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,1.0,1.95,,2.770202,0.65,6.042,2.3
Mexico,MX,MEX,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,1.0,4.185977,8.626432,0.4072435,0.1362323,1.678597,0.1517439,0.5034902
Morocco,MA,MAR,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,0.0133439,,,,,
Namibia,NA,NAM,Green Bond Issuances by Country,Billion US Dollars,Refinitiv; Country authorities; IMF staff calculations.,ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,0.0038124,,,,
