Country,ISO2,ISO3,Indicator,Unit,Source,Copyright and Usage,CTS Code,CTS Name,CTS Full Descriptor,Growth Type,Sector,Scenarios,Scope,2023
Australia,AU,AUS,Assets at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFA,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Assets at Risk in Disclosing Firms",Constant Assets/Revenues,Not applicable,Below 2°C,Scope 1,6.887306937
Australia,AU,AUS,Assets at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFA,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Assets at Risk in Disclosing Firms",Constant Assets/Revenues,Not applicable,Current Policies,Scope 1,0.0
Australia,AU,AUS,Assets at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFA,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Assets at Risk in Disclosing Firms",Constant Assets/Revenues,Not applicable,Delayed transition,Scope 1,18.8699484
Australia,AU,AUS,Assets at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFA,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Assets at Risk in Disclosing Firms",Constant Assets/Revenues,Not applicable,Divergent Net Zero,Scope 1,19.47185605
Australia,AU,AUS,Assets at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFA,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Assets at Risk in Disclosing Firms",Constant Assets/Revenues,Not applicable,Nationally Determined Contributions (NDCs),Scope 1,14.71241829
Australia,AU,AUS,Assets at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,ECTFA,,"Environment, Climate Change, Transition to a Low-Carbon Economy, Forward Looking Transition Risk Indicators, Assets at Risk in Disclosing Firms",Constant Assets/Revenues,Not applicable,Net Zero 2050,Scope 1,18.8699484
Australia,AU,AUS,Assets at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,,,,Growth Rates applied to Assets/Revenues,Not applicable,Below 2°C,Scope 1,1.454205783
Australia,AU,AUS,Assets at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,,,,Growth Rates applied to Assets/Revenues,Not applicable,Current Policies,Scope 1,0.0
Australia,AU,AUS,Assets at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,,,,Growth Rates applied to Assets/Revenues,Not applicable,Delayed transition,Scope 1,14.72644684
Australia,AU,AUS,Assets at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,,,,Growth Rates applied to Assets/Revenues,Not applicable,Divergent Net Zero,Scope 1,17.51546823
Australia,AU,AUS,Assets at Risk in Disclosing Firms,Percent,"ICE Data Services, Orbis (Bureau Van Dijk), Network for Greening the Financial System ([NGFS](www.ngfs.net/en)); and IMF staff calculations.",The indicators are created from ICE Data Services and per license agreement they should not be used for commercial purposes; https://www.imf.org/external/terms.htm,,,,Growth Rates applied to Assets/Revenues,Not applicable,Nationally Determined Contributions (NDCs),Scope 1,8.874695815
